timestamp,open,high,low,close,volume,ADX_14,ADXR_14_2,DMP_14,DMN_14,EMA_20,EMA_50,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,regime_label
2026-05-28 02:00:00,74313.0,74373.6,74081.9,74256.6,3652.024,34.315340316044725,33.24291117033948,10.311360388343926,29.301186880385874,74987.70410069168,75859.164,73942.17837759812,75100.47,76258.76162240189,3.0846454686685303,0.13572645105983355,2
2026-05-28 03:00:00,74256.6,74355.6,73036.0,73224.5,31055.812,36.50895408826861,34.88816345098729,8.28769484198878,39.10567735076191,74819.77990062581,75755.84384313726,73601.64635723368,74964.945,76328.24364276633,3.6371630573898965,-0.13832125456693628,1
2026-05-28 04:00:00,73224.4,73240.0,72667.9,73145.1,15398.619,38.82226420617591,36.56880226111032,7.592037400902079,41.22397021768876,74660.28657675668,75653.46173164168,73307.50627785931,74830.28000000001,76353.05372214071,4.069939928437259,-0.05332580786559603,1
2026-05-28 05:00:00,73145.1,73145.1,72872.5,72959.9,5389.586,40.970337887089826,38.73964598767922,7.278532665069153,39.52167224276764,74498.34499801794,75547.8318598126,73030.46953023488,74684.49500000001,76338.52046976514,4.429367755020972,-0.021332661293574702,1
2026-05-28 06:00:00,72960.0,73182.2,72729.2,73170.9,7675.794,43.07067703059871,40.94647061838731,6.777665102726886,38.97885644520066,74371.92166487339,75454.61884570231,72861.94517392883,74549.855,76237.76482607116,4.528271251690997,0.09151994416381058,1
2026-05-28 07:00:00,73171.0,73485.0,73113.2,73467.0,6114.88,43.832202954445435,42.40127042076763,11.058640016073355,36.7439430568657,74285.73864917117,75376.67300861595,72779.6670598472,74436.31,76092.9529401528,4.4511688990300575,0.2074475203719537,1
2026-05-28 08:00:00,73467.0,73474.8,73167.4,73294.0,3701.156,44.539334169445965,43.80500560002234,10.521498921803275,34.95921349222885,74191.2873492501,75294.99955729768,72691.04646514963,74318.26000000001,75945.47353485039,4.379040991676553,0.18527179191199736,1
2026-05-28 09:00:00,73293.9,73535.7,73230.0,73514.1,3180.086,44.951326230138974,44.391764592292205,10.98629965734047,33.23058788578797,74126.79331598818,75225.16035897227,72614.92245546737,74241.25,75867.57754453263,4.381196557257937,0.2764441725024828,1
2026-05-28 10:00:00,73514.0,73592.1,73316.5,73375.2,4263.274,45.100529734021265,44.819931951733615,11.420476452168769,31.7083538017741,74055.21300017978,75152.61289391453,72530.98520147931,74159.975,75788.9647985207,4.393177852394615,0.2591221870411117,1
2026-05-28 11:00:00,73375.3,73510.0,73280.7,73479.1,2762.54,45.294458962707395,45.122892596423185,10.970211699830886,31.073766434956884,74000.34509540076,75086.98493729044,72506.01862749159,74068.93,75631.8413725084,4.220153774351547,0.31130407956103856,1
2026-05-28 12:00:00,73479.0,73555.0,73221.6,73496.5,4128.714,45.56909487197434,45.334812302997804,10.332346492519992,30.297684259512977,73952.35984821974,75024.61297896532,72506.03560057317,73980.06,75454.08439942682,3.9849235035138495,0.3359728644288281,1
2026-05-28 13:00:00,73496.4,73549.9,72739.2,72988.5,13507.443,46.486517390625586,45.890488176666494,8.967006938003667,34.15709012552969,73860.56367219881,74944.76541116276,72408.15333935,73887.575,75366.99666065,4.004520815982924,0.19613970651038726,1
