timestamp,open,high,low,close,volume
2026-05-26 01:00:00,76750.1,76879.2,76550.0,76717.8,4014.825
2026-05-26 02:00:00,76717.8,76790.0,76472.6,76630.7,3663.677
2026-05-26 03:00:00,76630.8,76685.0,76434.0,76629.0,2990.608
2026-05-26 04:00:00,76629.0,76784.4,76569.8,76713.9,2832.751
2026-05-26 05:00:00,76713.9,76950.0,76668.2,76887.3,2859.933
2026-05-26 06:00:00,76887.4,77045.9,76735.2,76869.8,3362.296
2026-05-26 07:00:00,76869.9,76886.6,76556.9,76685.1,3492.107
2026-05-26 08:00:00,76685.0,76819.7,76652.4,76687.9,1834.031
2026-05-26 09:00:00,76687.8,76779.2,76606.0,76641.0,2007.84
2026-05-26 10:00:00,76640.9,77600.0,76543.8,77398.6,12291.589
2026-05-26 11:00:00,77398.7,77477.7,77136.2,77153.9,4704.8
2026-05-26 12:00:00,77153.8,77200.0,76847.8,77098.9,5875.831
2026-05-26 13:00:00,77098.9,77432.6,76641.7,77199.2,10219.396
2026-05-26 14:00:00,77199.2,78077.1,76682.3,76873.6,32872.397
2026-05-26 15:00:00,76873.6,76983.4,76234.7,76478.2,17760.011
2026-05-26 16:00:00,76478.2,76678.7,76171.0,76534.6,8964.023
2026-05-26 17:00:00,76534.7,76624.9,75809.5,75909.6,15095.075
2026-05-26 18:00:00,75909.6,76296.7,75711.0,75822.6,7810.546
2026-05-26 19:00:00,75822.6,76080.0,75782.0,76028.3,3462.471
2026-05-26 20:00:00,76028.4,76157.8,75960.2,76082.0,2352.054
2026-05-26 21:00:00,76081.9,76092.3,75822.6,75864.0,1938.109
2026-05-26 22:00:00,75864.0,75975.6,75641.2,75729.6,4011.581
2026-05-26 23:00:00,75729.7,75962.0,75729.7,75905.5,2666.844
2026-05-27 00:00:00,75905.6,76069.0,75854.9,76055.3,3043.727
2026-05-27 01:00:00,76055.3,76083.9,75794.9,75846.6,2849.437
2026-05-27 02:00:00,75846.6,75868.1,75654.8,75850.9,2802.311
2026-05-27 03:00:00,75850.9,75940.0,75555.1,75635.6,3565.669
2026-05-27 04:00:00,75635.6,75680.1,75277.8,75542.9,8840.36
2026-05-27 05:00:00,75543.0,75708.6,75539.9,75676.4,3364.243
2026-05-27 06:00:00,75676.4,75864.4,75649.1,75800.0,2659.38
2026-05-27 07:00:00,75800.0,75940.0,75721.4,75935.0,3278.243
2026-05-27 08:00:00,75935.0,76038.0,75800.0,75838.4,3812.843
2026-05-27 09:00:00,75838.5,75943.7,75666.0,75875.6,3099.093
2026-05-27 10:00:00,75875.7,76010.2,75835.0,75863.7,2498.476
2026-05-27 11:00:00,75863.8,75992.2,75723.6,75737.9,2781.79
2026-05-27 12:00:00,75737.9,76155.5,75541.0,75655.0,8053.742
2026-05-27 13:00:00,75654.9,75735.6,74835.0,75054.3,20743.151
2026-05-27 14:00:00,75054.3,75250.0,74735.7,75000.7,13749.777
2026-05-27 15:00:00,75000.7,75485.9,74950.1,75300.0,8717.531
2026-05-27 16:00:00,75300.0,75382.6,74961.0,75273.9,5753.912
2026-05-27 17:00:00,75273.9,75316.8,74645.0,74838.2,8594.176
2026-05-27 18:00:00,74838.2,75007.9,74632.0,75000.0,4699.102
2026-05-27 19:00:00,75000.0,75077.6,74920.0,75039.9,3599.445
2026-05-27 20:00:00,75039.8,75391.0,75022.4,75237.6,3476.208
2026-05-27 21:00:00,75237.6,75237.6,74300.1,74439.9,10168.63
2026-05-27 22:00:00,74440.0,74742.7,74218.2,74390.0,8980.344
2026-05-27 23:00:00,74389.9,74545.8,74210.0,74418.1,5583.871
2026-05-28 00:00:00,74418.0,74555.5,74336.7,74541.6,3138.599
2026-05-28 01:00:00,74541.7,74565.3,74100.0,74313.0,5741.343
2026-05-28 02:00:00,74313.0,74373.6,74081.9,74256.6,3652.024
2026-05-28 03:00:00,74256.6,74355.6,73036.0,73224.5,31055.812
2026-05-28 04:00:00,73224.4,73240.0,72667.9,73145.1,15398.619
2026-05-28 05:00:00,73145.1,73145.1,72872.5,72959.9,5389.586
2026-05-28 06:00:00,72960.0,73182.2,72729.2,73170.9,7675.794
2026-05-28 07:00:00,73171.0,73485.0,73113.2,73467.0,6114.88
2026-05-28 08:00:00,73467.0,73474.8,73167.4,73294.0,3701.156
2026-05-28 09:00:00,73293.9,73535.7,73230.0,73514.1,3180.086
2026-05-28 10:00:00,73514.0,73592.1,73316.5,73375.2,4263.274
2026-05-28 11:00:00,73375.3,73510.0,73280.7,73479.1,2762.54
2026-05-28 12:00:00,73479.0,73555.0,73221.6,73496.5,4128.714
2026-05-28 13:00:00,73496.4,73549.9,72739.2,72988.5,13507.443
2026-05-28 14:00:00,72988.5,73557.3,72556.0,72997.5,27209.387
